vaalipiiri,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.,kotikunta,Äidinkieli,Työnantaja,Ammattiasema,Koulutus,Uskonnollinen yhteisö,Poliittisen puolueen jäsen,Poliittinen kokemus,Käytän vaaleihin rahaa,Ulkopuolisen rahoituksen osuus,Vuositulot,127|Suomessa on liian helppo elää sosiaaliturvan varassa,128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.,129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.,130|Työntekijälle on turvattava lailla minimityöaika.,131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.,132|Euron ulkopuolella Suomi pärjäisi paremmin.,134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.,135|Lapsilisiä on korotettava ja laitettava verolle.,136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.,137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.,138|Suomeen tarvitaan enemmän poliiseja.,139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.,140|Venäjän etupiiripolitiikka on uhka Suomelle.,141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.,142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.,143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.,144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.,145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.,146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.,148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.,150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.,151|On aika luopua ajatuksesta että koko Suomi on pidettävä asuttuna.,201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.,244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.,245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.,246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.,247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.,248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.
04 Satakunnan vaalipiiri,Salomäki,Toni,Piraattipuolue,35,M,0,Kokemäki,suomi ,julkinen ,työntekijä ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa,0- %,20 000-30 000 euroa,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,Kyllä,Kyllä,Ei,Ei,Kyllä,Kyllä
10 Vaasan vaalipiiri,Salonen,Harri ,Kansallinen Kokoomus,63,M,0,Jalasjärvi,suomi ,yksityinen ,korkeakoulututkintoa vaativa tehtävä ,korkeakoulututkinto ,muu kristillinen kirkko tai yhteisö ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,20 000-50 000 euroa,81-100%,70 000-100 000 euroa,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,Ei,Kyllä,Kyllä,Ei,Ei,Ei
04 Satakunnan vaalipiiri,Salonen,Kristiina,Suomen Sosialidemokraattinen Puolue,37,F,1,Rauma,suomi ,julkinen ,null,ylioppilas ,evankelis-luterilainen kirkko ,kyllä ,kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto |kansanedustaja ,null,null,null,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Ei
10 Vaasan vaalipiiri,Salonen,Maarit,Itsenäisyyspuolue,0,F,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13 Lapin vaalipiiri,Salonen,Tarmo,Perussuomalaiset,62,M,0,Kittilä,suomi ,null,yrittäjä ,null,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,10 000-20 000 euroa,null,null,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,Kyllä,Kyllä,Ei,Kyllä,Kyllä,Kyllä
04 Satakunnan vaalipiiri,Salonen,Tomi,Perussuomalaiset,40,M,0,Eurajoki,suomi ,yksityinen ,työntekijä ,ammattitutkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,1 000-5 000 euroa,0- %,30 000-50 000 euroa,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,Kyllä,Kyllä,Kyllä,Kyllä,Kyllä,Kyllä
10 Vaasan vaalipiiri,Saloranta,Allan,Vasemmistoliitto,56,M,0,Vöyri,suomi ,yksityinen ,työntekijä ,peruskoulu ,evankelis-luterilainen kirkko ,ei,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,1 000-5 000 euroa,81-100%,30 000-50 000 euroa,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Ei
11 Keski-Suomen vaalipiiri,Saloranta,Jasmine ,Suomen Sosialidemokraattinen Puolue,22,F,0,Jyväskylä,null,null,eläkeläinen ,ylioppilas ,evankelis-luterilainen kirkko ,kyllä ,ei mitään näistä,alle 1 000 euroa,81-100%,alle 20 000 euroa,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin samaa mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin eri mieltä,Kyllä,Tyhjä,Ei,Ei,Ei,Ei
02 Uudenmaan vaalipiiri,Sammallahti,Tere,Piraattipuolue,33,M,0,Espoo,suomi ,yksityinen ,asiantuntijatehtävä ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa,0- %,30 000-50 000 euroa,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,Ei,Kyllä,Kyllä,Ei,Kyllä,Kyllä
01 Helsingin vaalipiiri,Samppala,Seppo,Suomen Kristillisdemokraatit (KD),57,M,0,Helsinki,suomi ,julkinen ,asiantuntijatehtävä ,korkeakoulututkinto ,muu kristillinen kirkko tai yhteisö ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa,1-20 %,30 000-50 000 euroa,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,Ei,Ei,Kyllä,Kyllä,Ei,Ei
02 Uudenmaan vaalipiiri,Sandberg,Tiina,Suomen Kommunistinen Puolue,41,F,0,Helsinki,suomi ,julkinen ,toimihenkilö ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa,1-20 %,30 000-50 000 euroa,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Ei
10 Vaasan vaalipiiri,Sankelo,Janne,Kansallinen Kokoomus,48,M,1,Kauhava,suomi ,julkinen ,työntekijä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto |kansanedustaja ,20 000-50 000 euroa,51-80 %,70 000-100 000 euroa,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,Kyllä,Kyllä,Kyllä,Kyllä,Kyllä,Kyllä
07 Pirkanmaan vaalipiiri,Santala-Köykkä,Riitta,Vihreä liitto,53,F,0,Kangasala,suomi ,yksityinen ,korkeakoulututkintoa vaativa tehtävä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kuntayhtymä tai maakuntahallinto ,alle 1 000 euroa,1-20 %,null,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,ohita kysymys,ohita kysymys,ohita kysymys,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin samaa mieltä,ohita kysymys,jokseenkin eri mieltä,ohita kysymys,ohita kysymys,ohita kysymys,Tyhjä,Ei,Tyhjä,Ei,Kyllä,Tyhjä
02 Uudenmaan vaalipiiri,Saramo,Jussi,Vasemmistoliitto,35,M,0,Vantaa,null,yksityinen ,asiantuntijatehtävä ,null,null,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,20 000-50 000 euroa,1-20 %,50 000-70 000 euroa,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,Kyllä,Ei,Ei,Ei,Ei,Ei
09 Savo-Karjalan vaalipiiri,Sarisalmi,Joona,Itsenäisyyspuolue,32,M,0,Joensuu,suomi ,yksityinen ,yrittäjä ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,ei,ei mitään näistä,alle 1 000 euroa,null,alle 20 000 euroa,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,null,null,täysin samaa mieltä,täysin eri mieltä,ohita kysymys,täysin eri mieltä,täysin eri mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,null,ohita kysymys,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Kyllä
07 Pirkanmaan vaalipiiri,Sarisalmi,Julius,Itsenäisyyspuolue,30,M,0,Sastamala,suomi ,yksityinen ,yrittäjä ,ylioppilas ,null,null,ei mitään näistä,alle 1 000 euroa,0- %,20 000-30 000 euroa,ohita kysymys,ohita kysymys,jokseenkin samaa mieltä,jokseenkin samaa mieltä,ohita kysymys,täysin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,ohita kysymys,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,ohita kysymys,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,ohita kysymys,ohita kysymys,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Tyhjä,Kyllä
12 Oulun vaalipiiri,Sarkkinen,Hanna,Vasemmistoliitto,26,F,0,Oulu,suomi ,null,joku muu,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,20 000-50 000 euroa,51-80 %,30 000-50 000 euroa,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Tyhjä
01 Helsingin vaalipiiri,Sarkomaa,Sari,Kansallinen Kokoomus,49,F,1,Helsinki,suomi ,julkinen ,joku muu,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,kansanedustaja ,20 000-50 000 euroa,81-100%,70 000-100 000 euroa,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,Tyhjä,Tyhjä,Kyllä,Ei,Ei,Ei
02 Uudenmaan vaalipiiri,Sarpola,Arja,Suomen Keskusta,51,F,0,Vantaa,suomi ,null,null,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,ei mitään näistä,null,null,null,ohita kysymys,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,ohita kysymys,ohita kysymys,jokseenkin samaa mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Ei
12 Oulun vaalipiiri,Sarpola,Arja,Vihreä liitto,53,F,0,Muhos,suomi ,julkinen ,korkeakoulututkintoa vaativa tehtävä ,null,evankelis-luterilainen kirkko ,ei,ei mitään näistä,alle 1 000 euroa,0- %,30 000-50 000 euroa,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Kyllä
07 Pirkanmaan vaalipiiri,Sarvijärvi,Minna,Suomen Keskusta,47,F,0,Ylöjärvi,suomi ,julkinen ,korkeakoulututkintoa vaativa tehtävä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,5 000-10 000 euroa,21-50%,30 000-50 000 euroa,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Kyllä
07 Pirkanmaan vaalipiiri,Sasi,Kimmo,Kansallinen Kokoomus,63,M,1,Tampere,suomi ,julkinen ,asiantuntijatehtävä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kansanedustaja ,10 000-20 000 euroa,81-100%,yli 100 000 euroa,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,Ei,Kyllä,Kyllä,Kyllä,Kyllä,Ei
07 Pirkanmaan vaalipiiri,Satonen,Arto,Kansallinen Kokoomus,48,M,1,Sastamala,suomi ,julkinen ,asiantuntijatehtävä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,kansanedustaja ,20 000-50 000 euroa,21-50%,yli 100 000 euroa,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,Kyllä,Kyllä,Kyllä,Ei,Kyllä,Ei
01 Helsingin vaalipiiri,Satti,Juho,Suomen Keskusta,31,M,0,Helsinki,suomi ,null,null,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,ei mitään näistä,1 000-5 000 euroa,0- %,null,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin eri mieltä,ohita kysymys,ohita kysymys,ohita kysymys,jokseenkin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,Tyhjä,Ei,Tyhjä,Ei,Ei,Tyhjä
12 Oulun vaalipiiri,Saukko,Rauno,Muutos 2011,52,M,0,Oulu,suomi ,yksityinen ,yrittäjä ,peruskoulu ,null,null,ei mitään näistä,alle 1 000 euroa,0- %,20 000-30 000 euroa,täysin samaa mieltä,täysin samaa mieltä,ohita kysymys,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,Kyllä,Kyllä,Kyllä,Ei,Kyllä,Kyllä
02 Uudenmaan vaalipiiri,Saukkola,Ville,Perussuomalaiset,45,M,0,null,suomi ,julkinen ,joku muu,ammattitutkinto ,null,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,null,null,null,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Kyllä
04 Satakunnan vaalipiiri,Savala,Tero,Suomen Sosialidemokraattinen Puolue,31,M,0,Pori,suomi ,yksityinen ,työntekijä ,ammattitutkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,1 000-5 000 euroa,51-80 %,30 000-50 000 euroa,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,Kyllä,Kyllä,Ei,Ei,Kyllä,Ei
07 Pirkanmaan vaalipiiri,Savio,Sami,Perussuomalaiset,39,M,0,Ylöjärvi,suomi ,null,asiantuntijatehtävä ,korkeakoulututkinto ,null,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,null,null,null,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,Kyllä,Kyllä,Kyllä,Kyllä,Ei,Kyllä
