vaalipiiri;puolue;ikä;sukupuoli;Toimin tällä hetkellä kansanedustajana.;kotikunta;Äidinkieli;Työnantaja;Ammattiasema;Koulutus;Uskonnollinen yhteisö;Poliittisen puolueen jäsen;Käytän vaaleihin rahaa;Vuositulot;127|Suomessa on liian helppo elää sosiaaliturvan varassa;128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.;129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.;130|Työntekijälle on turvattava lailla minimityöaika.;131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.;132|Euron ulkopuolella Suomi pärjäisi paremmin.;134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.;135|Lapsilisiä on korotettava ja laitettava verolle.;136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.;137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.;138|Suomeen tarvitaan enemmän poliiseja.;139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.;140|Venäjän etupiiripolitiikka on uhka Suomelle.;141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.;142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.;143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.;144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.;145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.;146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.;148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.;150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.;151|On aika luopua ajatuksesta, että koko Suomi on pidettävä asuttuna.;201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.;244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.;245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.;246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.;247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.;248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.;class
08 Kaakkois-Suomen vaalipiiri;Suomen Kristillisdemokraatit (KD);52;F;0;Mikkeli;suomi ;julkinen ;työntekijä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Suomen Keskusta;0;F;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Ei valittu
06 Hämeen vaalipiiri;Itsenäisyyspuolue;38;M;0;Forssa;suomi ;yksityinen ;yrittäjä ;ammattitutkinto ;null;null;alle 1 000 euroa;20 000-30 000 euroa;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
07 Pirkanmaan vaalipiiri;Suomen Kristillisdemokraatit (KD);57;M;1;Rauma;suomi ;julkinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;70 000-100 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;null;null;null;null;null;null;null;null;Ei valittu
02 Uudenmaan vaalipiiri;Suomen ruotsalainen kansanpuolue;47;F;0;Kirkkonummi;ruotsi ;julkinen ;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;5 000-10 000 euroa;70 000-100 000 euroa;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Vasemmistoliitto;41;F;0;Lohja;suomi ;yksityinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;20 000-30 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;ohita kysymys;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;ohita kysymys;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei valittu
10 Vaasan vaalipiiri;Vihreä liitto;35;F;0;Vaasa;suomi ;yksityinen ;työntekijä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;30 000-50 000 euroa;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei valittu
01 Helsingin vaalipiiri;Vihreä liitto;22;F;0;Helsinki;suomi ;yksityinen ;opiskelija ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;1 000-5 000 euroa;20 000-30 000 euroa;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei valittu
03 Varsinais-Suomen vaalipiiri;Suomen Keskusta;65;M;0;Loimaa;suomi ;yksityinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;yli 50 000 euroa;70 000-100 000 euroa;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Valittu
01 Helsingin vaalipiiri;Vihreä liitto;48;F;1;Helsinki;suomi ;julkinen ;null;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;20 000-50 000 euroa;70 000-100 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Valittu
02 Uudenmaan vaalipiiri;Kansallinen Kokoomus;73;M;0;Kauniainen;null;null;null;null;null;null;null;null;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei valittu
12 Oulun vaalipiiri;Suomen Sosialidemokraattinen Puolue;30;M;0;Siikalatva;suomi ;yksityinen ;työntekijä ;ylioppilas ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;5 000-10 000 euroa;20 000-30 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;ohita kysymys;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei valittu
07 Pirkanmaan vaalipiiri;Suomen Keskusta;63;M;1;Tampere;suomi ;yksityinen ;yrittäjä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;20 000-50 000 euroa;null;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Valittu
09 Savo-Karjalan vaalipiiri;Suomen Keskusta;39;M;0;Valtimo;suomi ;yksityinen ;maanviljelijä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;null;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;ohita kysymys;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Kyllä;Tyhjä;Ei;Kyllä;Ei;Ei valittu
07 Pirkanmaan vaalipiiri;Itsenäisyyspuolue;0;M;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Ei valittu
04 Satakunnan vaalipiiri;Kansallinen Kokoomus;53;F;0;Rauma;suomi ;julkinen ;johtava asema ;korkeakoulututkinto ;null;null;null;null;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
01 Helsingin vaalipiiri;Suomen Kommunistinen Puolue;31;M;0;Helsinki;suomi ;null;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;ei;alle 1 000 euroa;null;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei valittu
10 Vaasan vaalipiiri;Vihreä liitto;30;F;0;Vaasa;suomi ;null;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;1 000-5 000 euroa;20 000-30 000 euroa;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei valittu
06 Hämeen vaalipiiri;Suomen Sosialidemokraattinen Puolue;44;F;0;Janakkala;suomi ;yksityinen ;asiantuntijatehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;5 000-10 000 euroa;null;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei valittu
03 Varsinais-Suomen vaalipiiri;Vasemmistoliitto;55;M;0;Turku;null;ei työelämässä;taiteilija ;ylioppilas ;muu kristillinen kirkko tai yhteisö ;kyllä ;alle 1 000 euroa;alle 20 000 euroa;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;ohita kysymys;Kyllä;Kyllä;Ei;Tyhjä;Ei;Kyllä;Ei valittu
01 Helsingin vaalipiiri;Suomen ruotsalainen kansanpuolue;0;M;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Ei valittu
02 Uudenmaan vaalipiiri;Suomen ruotsalainen kansanpuolue;36;M;0;Raasepori;ruotsi ;julkinen ;johtava asema ;korkeakoulututkinto ;muu kristillinen kirkko tai yhteisö ;kyllä ;5 000-10 000 euroa;null;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Kyllä;Tyhjä;Ei;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Suomen ruotsalainen kansanpuolue;31;M;0;Loviisa;ruotsi ;julkinen ;asiantuntijatehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;null;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;null;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei valittu
03 Varsinais-Suomen vaalipiiri;Vasemmistoliitto;27;F;0;Turku;null;yksityinen ;johtava asema ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;5 000-10 000 euroa;30 000-50 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Ei;Ei;Ei;Ei;Valittu
06 Hämeen vaalipiiri;Kansallinen Kokoomus;30;F;0;Riihimäki;suomi ;yksityinen ;toimihenkilö ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;20 000-30 000 euroa;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;ohita kysymys;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei valittu
08 Kaakkois-Suomen vaalipiiri;Vihreä liitto;34;F;0;Hamina;suomi ;julkinen ;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;5 000-10 000 euroa;50 000-70 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Suomen Kristillisdemokraatit (KD);59;M;0;Vihti;suomi ;yksityinen ;johtava asema ;ammattitutkinto ;muu kristillinen kirkko tai yhteisö ;kyllä ;1 000-5 000 euroa;20 000-30 000 euroa;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;Kyllä;Tyhjä;Ei;Kyllä;Ei;Kyllä;Ei valittu
13 Lapin vaalipiiri;Suomen Keskusta;29;F;0;Rovaniemi;null;yksityinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;30 000-50 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei valittu
09 Savo-Karjalan vaalipiiri;Perussuomalaiset;26;F;0;Outokumpu;suomi ;julkinen ;työntekijä ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;5 000-10 000 euroa;alle 20 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
07 Pirkanmaan vaalipiiri;Suomen Kristillisdemokraatit (KD);53;M;0;Ylöjärvi;suomi ;julkinen ;asiantuntijatehtävä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;30 000-50 000 euroa;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei valittu
03 Varsinais-Suomen vaalipiiri;Perussuomalaiset;39;F;0;Nousiainen;suomi ;null;yrittäjä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;null;null;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei valittu
